;class;message;not_stemmed;stemmed
3154;ham;I tagged MY friends that you seemed to count as YOUR friends.;i tagged my friends that you seemed to count as your friends;tag friend seem count friend
3155;spam;Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx;not heard from you number a while call number rude chat private line phonenumber to cum wan number c pics of me getting shagged then text six to number number end send stop number sam xxx;heard number call number rude chat privat line phonenumb cum wan number c pic get shag text six number number end send stop number sam xxx
3156;ham;Ok...;ok;ok
3157;ham;Long time. You remember me today.;long time you remember me today;long time rememb today
3158;ham;Havent shopping now lor i juz arrive only;havent shopping now lor i jug arrive only;havent shop lor jug arriv
3159;ham;Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE;thank u it better work out cause i will feel used otherwise;thank u better work caus feel use otherwis
3160;ham;Are you up for the challenge? I know i am :);are you up for the challenge i know i am;challeng know
3161;ham;How much did ur hdd casing cost.;how much did ur hdd casing cost;much ur hdd case cost
3162;ham;Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie;mystery solved just opened my email and he s sent me another batch in t he a sweetie;mysteri solv open email sent anoth batch sweeti
3163;ham;I can't describe how lucky you are that I'm actually awake by noon;i can t describe how lucky you are that i m actually awake by noon;describ lucki actual awak noon
3164;spam;This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm;this is the number nd time we have tried to contact u you have won the moneysymb number prize to claim just call phonenumber b number number t cs stop sms number number ppm;number nd time tri contact u moneysymb number prize claim call phonenumb b number number cs stop sm number number ppm
3165;ham;TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD;today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plc plc just slap ourself boz its ur fault i m basically good;today sorri day ever angri ever misbehav hurt plc plc slap ourself boz ur fault basic good
3166;ham;Cheers for the card ... Is it that time of year already?;cheers for the card is it that time of year already;cheer card time year alreadi
3167;spam;HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k;hot live fantasies call now phonenumber just number p per min ntt ltd po box number croydon cr number number wb number k;hot live fantasi call phonenumb number p per min ntt ltd po box number croydon cr number number wb number k
3168;ham;When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL;when people see my mugs they think am addicted to making they are wrong boz they don t know that am addicted to my sweet friends bslvyl;peopl see mug think addict make wrong boz know addict sweet friend bslvyl
3169;ham;Ugh hopefully the asus ppl dont randomly do a reformat.;ugh hopefully the asks ppl dont randomly do a reformat;ugh hope ask ppl dont randomli reformat
3170;ham;Haven't seen my facebook, huh? Lol!;haven t seen my casebook huh lol;seen casebook huh lol
3171;ham;Mah b, I'll pick it up tomorrow;mah b i ll pick it up tomorrow;mah b pick tomorrow
3172;ham;Still otside le..u come 2morrow maga..;still outside le u come number morrow mama;still outsid le u come number morrow mama
3173;ham;Do u still have plumbers tape and a wrench we could borrow?;do you still have plumbers tape and a wrench we could borrow;still plumber tape wrench could borrow
3174;spam;Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/reward. Ts&Cs apply.;dear voucher holder to claim this weeks offer at you pc please go to httpaddr ts cs apply;dear voucher holder claim week offer pc pleas go httpaddr ts cs appli
3175;ham;It vl bcum more difficult..;it vl scum more difficult;vl scum difficult
3176;spam;UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117;ur going number bahamas callfreefone phonenumber and speak to a live operator to claim either bahamas cruise of moneysymb number cash number only to opt out text x to number;ur go number bahama callfreefon phonenumb speak live oper claim either bahama cruis moneysymb number cash number opt text x number
3177;ham;Havent still waitin as usual... Ü come back sch oredi?;havent still waiting as usual a come back sch order;havent still wait usual come back sch order
3178;ham;In meeting da. I will call you;in meeting da i will call you;meet da call
3179;ham;K k :-):-) then watch some films.;k k then watch some films;k k watch film
3180;ham;Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.;does cinema plus drink appeal tomo is a fr thriller by director i like on at mac at number;cinema plu drink appeal tomo fr thriller director like mac number
3181;ham;There the size of elephant tablets & u shove um up ur ass!!;there the size of elephant tablets you shove um up ur ass;size eleph tablet shove um ur ass
3182;ham;So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da;so many people seems to be special at first sight but only very few will remain special to you till your last sight maintain them till life ends take cr da;mani peopl seem special first sight remain special till last sight maintain till life end take cr da
3183;ham;My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!;my parents my kids my friends n my colleagues all screaming surprise and i was waiting on the sofa naked;parent kid friend n colleagu scream surpris wait sofa nake
3184;ham;Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one ü cut ur hair. ;dunno i jug skin cos i got a card got number off number a salon called hair sense so i tot it s da one a cut ur hair;dunno jug skin co got card got number number salon call hair sens tot da one cut ur hair
3185;ham;Good morning pookie pie! Lol hope I didn't wake u up;good morning cookie pie lol hope i didn t wake you up;good morn cooki pie lol hope wake
3186;ham;MAYBE IF YOU WOKE UP BEFORE FUCKING 3 THIS WOULDN'T BE A PROBLEM.;maybe if you woke up before fucking number this would t be a problem;mayb woke fuck number would problem
3187;ham;Happy birthday to you....dear.with lots of love.rakhesh NRI;happy birthday to you httpaddr lots of httpaddr sri;happi birthday httpaddr lot httpaddr sri
3188;ham;Howz that persons story;how that persons story;person stori
3189;spam;This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate;this is the number nd time we have tried number contact u you have won the number pound prize number claim is easy call phonenumber now only number p per min bt national rate;number nd time tri number contact u number pound prize number claim easi call phonenumb number p per min bt nation rate
3190;ham;"X2  &lt;#&gt; . Are you going to get that";x number lt gt are you going to get that;x number lt gt go get
3191;ham;Hi neva worry bout da truth coz the truth will lead me 2 ur heart. Its the least a unique person like u deserve. Sleep tight or morning;hi neva worry bout da truth coz the truth will lead me number ur heart it s the least a unique person like you deserve sleep tight or morning;hi neva worri bout da truth coz truth lead number ur heart least uniqu person like deserv sleep tight morn
3192;spam;UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub;ur awarded a city break and could win a moneysymb number summer shopping spree every we text store to httpaddr;ur award citi break could win moneysymb number summer shop spree everi text store httpaddr
3193;ham;Is ur paper today in e morn or aft?;is ur paper today in e morn or aft;ur paper today e morn aft
3194;ham;I will lick up every drop :) are you ready to use your mouth as well?;i will lick up every drop are you ready to use your mouth as well;lick everi drop readi use mouth well
3195;ham;And you! Will expect you whenever you text! Hope all goes well tomo ;and you will expect you whenever you text hope all goes well tomo;expect whenev text hope goe well tomo
3196;ham;Great. P diddy is my neighbor and comes for toothpaste every morning;great p daddy is my neighbor and comes for toothpaste every morning;great p daddi neighbor come toothpast everi morn
3197;ham;I av a new number,  . Wil u only use this one,ta.;i av a new number wil you only use this one ta;av new number wil use one ta
3198;ham;So its to be poking man everyday that they teach you in canada abi! How are you. Just saying hi.;so its to be poking man everyday that they teach you in canada abi how are you just saying hi;poke man everyday teach canada abi say hi
3199;ham;7 lor... Change 2 suntec... Wat time u coming?;number lor change number suited wat time you coming;number lor chang number suit wat time come
3200;ham;No de.am seeing in online shop so that i asked.;no httpaddr seeing in online shop so that i asked;httpaddr see onlin shop ask
3201;ham;Just curious because my cuz asked what I was up to;just curious because my cut asked what i was up to;curiou cut ask
3202;ham;Nice.nice.how is it working?;httpaddr is it working;httpaddr work
3203;ham;Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?;okay lor wah like that def they wont let us go aha what did they say in the terms and conditions;okay lor wah like def wont let us go aha say term condit
3204;ham;Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again;aha yup hopefully we will lose a few kg by mon after hip hop can go orchard and weigh again;aha yup hope lose kg mon hip hop go orchard weigh
3205;ham;She's good. How are you. Where r u working now;she s good how are you where r you working now;good r work
3206;ham;Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home;oh yes i ve just been a little under the weather so i ve kind of been coccooning at home;oh ye littl weather kind coccoon home
3207;ham;At home also.;at home also;home also
3208;ham;This phone has the weirdest auto correct.;this phone has the weirdest auto correct;phone weirdest auto correct
3209;ham;Oops my phone died and I didn't even know. Yeah I like it better.;oops my phone died and i didn t even know yeah i like it better;oop phone die even know yeah like better
3210;ham;Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?;havent mus ask if you can number st wat of meet number lunch den you n him meet can already lor or you wan number go ask da ge number st then confirm w me asap;havent mu ask number st wat meet number lunch den n meet alreadi lor wan number go ask da ge number st confirm w asap
3211;ham;She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,;she said do you mind if i go into the bedroom for a minute ok i sed in a sexy mood she came out number minutes later wid a cake n my wife;said mind go bedroom minut ok sed sexi mood came number minut later wid cake n wife
3212;ham;OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx;oh yeah and hav a great time in newquay send me a postcard number look after all the girls while im gone u know the number im talkin bout xx;oh yeah hav great time newquay send postcard number look girl im gone u know number im talkin bout xx
3213;ham;We got a divorce. Lol. She.s here;we got a divorce lol she s here;got divorc lol
3214;ham;What's ur pin?;what s ur pin;ur pin
3215;ham;Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?;babe have you got enough money to pick up bread and milk and i ll give you it back when you get home;babe got enough money pick bread milk give back get home
3216;ham;I want snow. It's just freezing and windy.;i want snow it s just freezing and windy;want snow freez windi
3217;spam;URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only;urgent we are trying to contact u todays draw shows that you have won a moneysymb number prize guaranteed call phonenumber from land line claim y number valid number hrs only;urgent tri contact u today draw show moneysymb number prize guarante call phonenumb land line claim number valid number hr
3218;ham;"Come to mahal bus stop.. &lt;DECIMAL&gt;";come to mahal bus stop lt decimal gt;come mahal bu stop lt decim gt
3219;ham;Don know:)this week i'm going to tirunelvai da.;don know this week i m going to tirunelvai da;know week go tirunelvai da
3220;ham;Me too baby! I promise to treat you well! I bet you will take good care of me...;me too baby i promise to treat you well i bet you will take good care of me;babi promis treat well bet take good care
3221;ham;Its like that hotel dusk game i think. You solve puzzles in a area thing;its like that hotel dusk game i think you solve puzzles in a area thing;like hotel dusk game think solv puzzl area thing
3222;spam;Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180;thanks for your kington order reference number x number your mobile will be charged number should your tone not arrive please call customer services number;thank kington order refer number x number mobil charg number tone arriv pleas call custom servic number
3223;ham;Hi, my love! How goes that day? Fuck, this morning I woke and dropped my cell on the way down the stairs but it seems alright ... *phews* I miss you !;hi my love how goes that day fuck this morning i woke and dropped my cell on the way down the stairs but it seems alright pews i miss you;hi love goe day fuck morn woke drop cell way stair seem alright pew miss
3224;ham;Well that must be a pain to catch;well that must be a pain to catch;well must pain catch
3225;ham;Sorry da thangam.it's my mistake.;sorry da httpaddr my mistake;sorri da httpaddr mistak
3226;ham;I need... Coz i never go before ;i need coz i never go before;need coz never go
3227;ham;Rose for red,red for blood,blood for heart,heart for u. But u for me.... Send tis to all ur friends.. Including me.. If u like me.. If u get back, 1-u r poor in relation! 2-u need some 1 to support 3-u r frnd 2 many 4-some1 luvs u 5+- some1 is praying god to marry u.:-) try it....;rose for red red for blood blood for heart heart for u but you for me send tis to all ur friends including me if you like me if you get back number u r poor in relation number u need some number to support number u r find number many number some number luis you number some number is praying god to marry u try it;rose red red blood blood heart heart u send ti ur friend includ like get back number u r poor relat number u need number support number u r find number mani number number lui number number pray god marri u tri
3228;ham;Wife.how she knew the time of murder exactly;httpaddr she knew the time of murder exactly;httpaddr knew time murder exactli
3229;spam;SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info;six chances to win cash from number to number number pounds text cash number and send to number cost number p day number days number stands apply reply hl number info;six chanc win cash number number number pound text cash number send number cost number p day number day number stand appli repli hl number info
3230;spam;Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1;ur cash balance is currently number pounds to maximize ur cash in now send collect to number only number p msg cc phonenumber po box number number tcr w number;ur cash balanc current number pound maxim ur cash send collect number number p msg cc phonenumb po box number number tcr w number
3231;ham;I feel like a dick because I keep sleeping through your texts and facebook messages. Sup, you in town?;i feel like a dick because i keep sleeping through your texts and casebook messages sup you in town;feel like dick keep sleep text casebook messag sup town
3232;ham;No plm i will come da. On the way.;no plm i will come da on the way;plm come da way
3233;ham;Guess he wants alone time. We could just show up and watch when they do..;guess he wants alone time we could just show up and watch when they do;guess want alon time could show watch
3234;ham;"Height of recycling: Read twice- People spend time for earning money and the same money is spent for spending time!;-) Good morning.. keep smiling:-)";height of recycling read twice people spend time for earning money and the same money is spent for spending time good morning keep smiling;height recycl read twice peopl spend time earn money money spent spend time good morn keep smile
3235;ham;Yup ü not comin :-(;yup a not coming;yup come
3236;ham;Yes, princess. Toledo.;yes princess toledo;ye princess toledo
3237;ham;Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me;right text me when you re back at mu and i ll swing by need somebody to get the door for me;right text back mu swing need somebodi get door
3238;ham;Ron say fri leh. N he said ding tai feng cant make reservations. But he said wait lor.;ron say fri let n he said ding tai feng cant make reservations but he said wait lor;ron say fri let n said ding tai feng cant make reserv said wait lor
3239;ham;Good. No swimsuit allowed :);good no swimsuit allowed;good swimsuit allow
3240;ham;Am okay. Will soon be over. All the best;am okay will soon be over all the best;okay soon best
3241;ham;"A cute thought for friendship: ""Its not necessary to share every secret with ur close Frnd, but watever u shared should be true""....";a cute thought for friendship its not necessary to share every secret with ur close find but whatever you shared should be true;cute thought friendship necessari share everi secret ur close find whatev share true
3242;ham;Ok i've sent u da latest version of da project.;ok i ve sent you da latest version of da project;ok sent da latest version da project
3243;ham;"Good Morning my Dear........... Have a great &amp; successful day.";good morning my dear have a great amp successful day;good morn dear great amp success day
3244;ham;Pls accept me for one day. Or am begging you change the number.;pls accept me for one day or am begging you change the number;pl accept one day beg chang number
3245;ham;"Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:";squeeeeeze this is christmas hug if you lik my frndshp den hug me back if you get number you r cute number you r luv number you r so lucky none people hate u;squeeeeez christma hug lik frndshp den hug back get number r cute number r luv number r lucki none peopl hate u
3246;ham;Its ok, if anybody asks abt me, u tel them..:-P;its ok if anybody asks at me you tel them p;ok anybodi ask tel p
3247;ham;Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens;funny fact nobody teaches volcanoes number erupt tsunamis number arise hurricanes number sway around no number teaches hw number choose a wife natural disasters just happens;funni fact nobodi teach volcano number erupt tsunami number aris hurrican number sway around number teach hw number choos wife natur disast happen
3248;ham;* You gonna ring this weekend or wot?;you gonna ring this weekend or wot;gonna ring weekend wot
3249;ham;Also track down any lighters you can find;also track down any lighters you can find;also track lighter find
3250;ham;Sorry, I can't help you on this.;sorry i can t help you on this;sorri help
3251;ham;Babe, I need your advice;babe i need your advice;babe need advic
3252;ham;I‘ll leave around four, ok?;i ll leave around four ok;leav around four ok
3253;ham;Come to medical college at 7pm ......forward it da;come to medical college at number pm forward it da;come medic colleg number pm forward da
3254;ham;K:)k..its good:)when are you going?;k k its good when are you going;k k good go
3255;ham;I can make lasagna for you... vodka...;i can make lasagna for you vodka;make lasagna vodka
3256;ham;HI ITS KATE CAN U GIVE ME A RING ASAP XXX;hi its kate can you give me a ring asap xxx;hi kate give ring asap xxx
3257;ham;Who were those people ? Were you in a tour ? I thought you were doing that sofa thing you sent me ? Your curious sugar;who were those people were you in a tour i thought you were doing that sofa thing you sent me your curious sugar;peopl tour thought sofa thing sent curiou sugar
3258;ham;No, but you told me you were going, before you got drunk!;no but you told me you were going before you got drunk;told go got drunk
3259;ham;He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him;he fucking chickened out he message me he would be late and would buzz me and then i didn t hear a word from him;fuck chicken messag would late would buzz hear word
3260;spam;Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate;congratulations thanks to a good friend you have won the moneysymb number number xmas prize number claim is easy just call phonenumber now only number p per minute bt national rate;congratul thank good friend moneysymb number number xma prize number claim easi call phonenumb number p per minut bt nation rate
3261;ham;I'm always looking for an excuse to be in the city.;i m always looking for an excuse to be in the city;alway look excus citi
3262;ham;Yup i'm still having coffee wif my frens... My fren drove she'll give me a lift...;yup i m still having coffee if my ferns my free drove she ll give me a lift;yup still coffe fern free drove give lift
3263;ham;O shore are you takin the bus;o shore are you takin the bus;shore takin bu
3264;ham;So u gonna get deus ex?;so you gonna get deus ex;gonna get deu ex
3265;ham;"I will send them to your email. Do you mind  &lt;#&gt;  times per night?";i will send them to your email do you mind lt gt times per night;send email mind lt gt time per night
3266;spam;44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705.;number number do you want a new nokia number i colour phone deliveredtomorrow with number free minutes to any mobile number free texts free camcorder reply or call number;number number want new nokia number colour phone deliveredtomorrow number free minut mobil number free text free camcord repli call number
3267;ham;tap & spile at seven. * Is that pub on gas st off broad st by canal. Ok?;tap spile at seven is that pub on gas st off broad st by canal ok;tap spile seven pub ga st broad st canal ok
3268;ham;Ok then i come n pick u at engin?;ok then i come n pick you at engine;ok come n pick engin
3269;ham;Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.;which is why i never wanted to tell you any of this which is why i m so short with you and on edge as of late;never want tell short edg late
3270;ham;Raviyog Peripherals bhayandar east;raving peripherals bhayandar east;rave peripher bhayandar east
3271;ham;K actually can you guys meet me at the sunoco on howard? It should be right on the way;k actually can you guys meet me at the unaco on howard it should be right on the way;k actual guy meet unaco howard right way
3272;spam;You have 1 new voicemail. Please call 08719181513.;you have number new voicemail please call number;number new voicemail pleas call number
3273;ham;MOON has come to color your dreams, STARS to make them musical and my SMS to give you warm and Peaceful Sleep. Good Night;moon has come to color your dreams stars to make them musical and my sms to give you warm and peaceful sleep good night;moon come color dream star make music sm give warm peac sleep good night
3274;ham;Just finished eating. Got u a plate. NOT leftovers this time.;just finished eating got you a plate not leftovers this time;finish eat got plate leftov time
3275;ham;Thanx a lot...;than a lot;lot
3276;ham;Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.;hurry home you big butt hang up on your last caller if you have to food is done and i m starving don t ask what i cooked;hurri home big butt hang last caller food done starv ask cook
3277;ham;Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(;lol your right what diet everyday i cheat anyway i m meant to be a fatty;lol right diet everyday cheat anyway meant fatti
3278;ham;Its a great day. Do have yourself a beautiful one.;its a great day do have yourself a beautiful one;great day beauti one
3279;ham;What happened in interview?;what happened in interview;happen interview
3280;ham;"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.";solve d case a man was found murdered on lt decimal gt lt gt afternoon number his wife called police number police questioned everyone number wife sir i was sleeping when the murder took place httpaddr i was cooking httpaddr i was picking vegetables httpaddr i went number d post office httpaddr we went number play httpaddr we went number a marriage police arrested d murderer immediately who s it reply with reason if you r brilliant;solv case man found murder lt decim gt lt gt afternoon number wife call polic number polic question everyon number wife sir sleep murder took place httpaddr cook httpaddr pick veget httpaddr went number post offic httpaddr went number play httpaddr went number marriag polic arrest murder immedi repli reason r brilliant
3281;ham;Badrith is only for chennai:)i will surely pick for us:)no competition for him.;barth is only for henna i will surely pick for us no competition for him;barth henna sure pick us competit
3282;ham;I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave... ;i tot it s my group mate lucky i havent reply wat time do a need to leave;tot group mate lucki havent repli wat time need leav
3283;ham;Hey you around? I've got enough for a half + the ten I owe you;hey you around i ve got enough for a half the ten i owe you;hey around got enough half ten owe
3284;ham;Hey tmr maybe can meet you at yck;hey mr maybe can meet you at cck;hey mr mayb meet cck
3285;ham;ALRITE SAM ITS NIC JUST CHECKIN THAT THIS IS UR NUMBER-SO IS IT?T.B*;albite sam its nic just checking that this is ur number so is it t b;albit sam nic check ur number b
3286;ham;"They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?";they are just making it easy to pay back i have lt gt yrs to say but i can pay back earlier you get;make easi pay back lt gt yr say pay back earlier get
3287;ham;Not to worry. I'm sure you'll get it.;not to worry i m sure you ll get it;worri sure get
3288;ham;The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard;the gas station is like a block away from my house you ll drive right by it since armenia ends at swann and you have to take howard;ga station like block away hous drive right sinc armenia end swann take howard
3289;spam;Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058097189 NOW all will be revealed. POBox 6, LS15HB 150p ;someone you know has asked our dating service number contact you cant guess who call phonenumber now all will be revealed poor number ls number hb number p;someon know ask date servic number contact cant guess call phonenumb reveal poor number ls number hb number p
3290;spam;Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days;camera you are awarded a sinix digital camera call phonenumber fromm landmine delivery within number days;camera award sinix digit camera call phonenumb fromm landmin deliveri within number day
3291;ham;My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?;my tuition is at number hm we go for the number to number one do you mind;tuition number hm go number number one mind
3292;ham;"I'm not smoking while people use ""wylie smokes too much"" to justify ruining my shit";i m not smoking while people use wylie smokes too much to justify ruining my shit;smoke peopl use wyli smoke much justifi ruin shit
3293;ham;Dear good morning how you feeling dear;dear good morning how you feeling dear;dear good morn feel dear
3294;ham;A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die;a little mess say take once every number hours it s only been number but pain is back so i took another hope i don t die;littl mess say take everi number hour number pain back took anoth hope die
3295;ham;Beautiful tomorrow never comes.. When it comes, it's already TODAY.. In the hunt of beautiful tomorrow don't waste your wonderful TODAY.. GOODMORNING:);beautiful tomorrow never comes when it comes it s already today in the hunt of beautiful tomorrow don t waste your wonderful today good-morning;beauti tomorrow never come come alreadi today hunt beauti tomorrow wast wonder today good-morn
3296;ham;Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.;dunno lei a all decide lor how at leona oops i tot ben is going n i msg him;dunno lei decid lor leona oop tot ben go n msg
3297;ham;Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.;hi there we have now moved in number our pub would be great number c you if you cud come up;hi move number pub would great number c cud come
3298;spam;Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ;todays soda numbers ending number are selected to receive a number award if you have a match please call phonenumber quoting claim code number standard rates app;today soda number end number select receiv number award match pleas call phonenumb quot claim code number standard rate app
3299;spam;This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18 only;this message is free welcome to the new improved sex dogging club to subscribe from this service reply stop mugs number p number only;messag free welcom new improv sex dog club subscrib servic repli stop mug number p number
3300;ham;"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)";honeybee said i m d sweetest in d world god laughed amp said wait u haunt met d person reading this msg moral even god can crack jokes gm gn ge gn;honeybe said sweetest world god laugh amp said wait u haunt met person read msg moral even god crack joke gm gn ge gn
3301;ham;Just do what ever is easier for you;just do what ever is easier for you;ever easier
3302;spam;RCT' THNQ Adrian for U text. Rgds Vatian;rct thnn adrian for you text rods vatican;rct thnn adrian text rod vatican
3303;ham;Stop calling everyone saying I might have cancer. My throat hurts to talk. I can't be answering everyones calls. If I get one more call I'm not babysitting on Monday;stop calling everyone saying i might have cancer my throat hurts to talk i can t be answering everyone calls if i get one more call i m not babysitting on monday;stop call everyon say might cancer throat hurt talk answer everyon call get one call babysit monday
3304;ham;It'll be tough, but I'll do what I have to;it ll be tough but i ll do what i have to;tough
3305;ham;IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx;im gonnamissu so much i would say il send you a postcard butchers about much chance of merememberin there is osi not breaking his contract luv tax;im gonnamissu much would say il send postcard butcher much chanc merememberin osi break contract luv tax
3306;ham;"Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.";ee msg na poortiyagi odalebeku hanumanji number name number hangman number bajarangabali number marti number pavanaputra number sankatmochan number ramaduth number mahaveer ee number name lt gt janarige ivatt kalisidare next saturday plage ond good news keluviri maretare index number dodd problem valli siguviri idu matra lt gt true don t neglect;ee msg na poortiyagi odalebeku hanumanji number name number hangman number bajarangabali number marti number pavanaputra number sankatmochan number ramaduth number mahav ee number name lt gt janarig ivatt kalisidar next saturday plage ond good news keluviri maretar index number dodd problem valli siguviri idu matra lt gt true neglect
3307;ham;HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX;hi darling i finish at number do you number number pick me up or meet me text back on this number luv kate xxx;hi darl finish number number number pick meet text back number luv kate xxx
3308;ham;Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!;set a place for me in your heart and not in your mind as the mind easily forgets but the heart will always remember wish you happy valentines day;set place heart mind mind easili forget heart alway rememb wish happi valentin day
3309;ham;But i'm surprised she still can guess right lor...;but i m surprised she still can guess right lor;surpris still guess right lor
3310;ham;Okie ü wan meet at bishan? Cos me at bishan now. I'm not driving today.;oki a wan meet at bisham cos me at bisham now i m not driving today;oki wan meet bisham co bisham drive today
3311;ham;Oh ho. Is this the first time u use these type of words;oh ho is this the first time you use these type of words;oh ho first time use type word
